        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Shader Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , PerfCap Reason [] , VDDC [V] ,
2017-07-03 15:24:44 ,              699.5   ,                793.0   ,               1399.0   ,               54.0   ,              12   ,            470   ,          4   ,                        4   ,                   0   ,                    3   ,               0   , 0.9900   ,
2017-07-03 15:24:45 ,              699.5   ,                793.0   ,               1399.0   ,               54.0   ,              12   ,            470   ,          8   ,                        5   ,                   0   ,                    6   ,               0   , 0.9900   ,
2017-07-03 15:25:06 ,              699.5   ,                793.0   ,               1399.0   ,               54.0   ,              12   ,            473   ,          2   ,                        3   ,                   0   ,                    1   ,               0   , 0.9900   ,
2017-07-03 15:25:07 ,              699.5   ,                793.0   ,               1399.0   ,               54.0   ,              12   ,            472   ,          0   ,                        2   ,                   0   ,                    0   ,               0   , 0.9900   ,
2017-07-03 15:25:08 ,              699.5   ,                793.0   ,               1399.0   ,               55.0   ,              12   ,            473   ,          5   ,                        4   ,                   0   ,                    3   ,               0   , 0.9900   ,
2017-07-03 15:25:09 ,              699.5   ,                793.0   ,               1399.0   ,               55.0   ,              12   ,            474   ,          9   ,                        5   ,                   0   ,                    6   ,               0   , 0.9900   ,
2017-07-03 15:25:10 ,              699.5   ,                793.0   ,               1399.0   ,               56.0   ,              12   ,            474   ,          9   ,                        5   ,                   0   ,                    6   ,               0   , 0.9900   ,
2017-07-03 15:25:11 ,              405.0   ,                324.0   ,                810.0   ,               54.0   ,              12   ,            473   ,          2   ,                        4   ,                   0   ,                    1   ,              16   , 0.9000   ,
2017-07-03 15:25:12 ,              405.0   ,                324.0   ,                810.0   ,               53.0   ,              12   ,            473   ,          0   ,                        5   ,                   0   ,                    0   ,              16   , 0.9000   ,
2017-07-03 15:25:13 ,              405.0   ,                324.0   ,                810.0   ,               53.0   ,              12   ,            473   ,          7   ,                        8   ,                   0   ,                    5   ,              16   , 0.9000   ,
2017-07-03 15:25:14 ,              405.0   ,                324.0   ,                810.0   ,               53.0   ,              12   ,            473   ,         15   ,                       12   ,                   0   ,                   11   ,              16   , 0.9000   ,
2017-07-03 15:25:15 ,              405.0   ,                324.0   ,                810.0   ,               52.0   ,              12   ,            476   ,         20   ,                       15   ,                   0   ,                   11   ,              16   , 0.9000   ,
